timestamp,user_id,ip,device_type,login_success,failed_attempts,location,session_duration,label
2025-12-05 21:47:24.290146,user_022,192.168.6.241,Android,1,0,Sri Lanka,1368,normal
2025-11-30 10:30:15.290146,user_017,192.168.9.4,iOS,1,0,UK,873,normal
2025-11-30 18:39:35.290146,user_022,192.168.1.151,Android,1,0,Australia,859,normal
2025-11-30 22:17:26.290146,user_032,192.168.9.56,Android,1,0,India,269,normal
2025-12-02 17:40:58.290146,user_006,192.168.2.83,Android,1,0,UK,1793,normal
2025-12-04 12:30:15.290146,user_017,192.168.4.91,Linux,1,0,UK,371,normal
2025-12-03 18:09:50.290146,user_010,192.168.9.200,Windows,1,0,UK,191,normal
2025-12-02 23:01:31.290146,user_004,192.168.9.106,Linux,1,0,Australia,858,normal
2025-12-03 12:43:54.290146,user_016,192.168.8.194,Linux,1,0,Sri Lanka,777,normal
2025-12-03 00:06:44.290146,user_045,192.168.4.152,Linux,1,0,USA,654,normal
2025-11-30 00:03:47.290146,user_038,192.168.3.113,iOS,1,0,Australia,1011,normal
2025-12-03 01:45:46.290146,user_028,192.168.6.48,Android,1,0,Sri Lanka,526,normal
2025-12-02 19:35:16.290146,user_021,192.168.10.238,Windows,1,0,India,985,normal
2025-12-03 16:17:49.290146,user_014,192.168.1.100,Linux,1,0,Australia,1111,normal
2025-12-06 00:11:55.290146,user_018,192.168.5.172,Linux,1,0,India,1112,normal
2025-12-02 13:45:07.290146,user_041,192.168.4.213,Windows,1,0,USA,677,normal
2025-12-04 22:10:00.290146,user_049,192.168.3.60,Windows,1,0,USA,802,normal
2025-12-05 12:16:24.290146,user_048,192.168.1.48,iOS,1,0,USA,1183,normal
2025-12-04 02:45:04.290146,user_015,192.168.6.225,Android,1,0,Australia,308,normal
2025-12-02 03:25:22.290146,user_048,192.168.5.66,iOS,1,0,India,1238,normal
2025-12-02 01:19:45.290146,user_027,192.168.9.233,Linux,1,0,Australia,890,normal
2025-12-06 21:22:33.297780,user_036,10.20.8.105,Android,1,0,USA,8289,anomalous
2025-12-05 12:03:36.290146,user_032,192.168.9.130,Android,1,0,USA,1143,normal
2025-12-06 18:24:33.297780,user_048,185.199.108.1,MacOS,1,0,Unknown,366,anomalous
2025-12-05 10:38:14.290146,user_023,192.168.9.91,Linux,1,0,India,1271,normal
2025-12-04 15:38:00.290146,user_006,192.168.10.152,Linux,1,0,Australia,1298,normal
2025-12-04 04:53:15.290146,user_021,192.168.5.7,iOS,1,0,Sri Lanka,1795,normal
2025-12-03 16:24:21.290146,user_012,192.168.2.132,MacOS,1,0,USA,67,normal
2025-12-05 07:39:08.290146,user_013,192.168.3.39,Windows,1,0,UK,288,normal
2025-12-07 00:04:33.297780,user_034,122.1.10.115,Android,1,0,Russia,79,anomalous
2025-12-01 10:13:24.290146,user_034,192.168.9.165,MacOS,1,0,USA,1275,normal
2025-11-29 20:20:33.290146,user_012,192.168.10.154,Android,1,0,USA,1202,normal
2025-12-03 07:18:53.290146,user_001,192.168.8.103,iOS,1,0,Australia,508,normal
2025-12-04 06:04:14.290146,user_002,192.168.5.195,MacOS,1,0,USA,1526,normal
2025-11-30 00:04:50.290146,user_013,192.168.9.234,Linux,1,0,USA,1319,normal
2025-11-29 20:13:23.290146,user_039,192.168.5.92,iOS,1,0,India,859,normal
2025-12-03 20:09:42.290146,user_013,192.168.8.236,Windows,1,0,USA,214,normal
2025-12-05 11:11:30.290146,user_029,192.168.9.201,Android,1,0,Australia,1375,normal
2025-11-30 01:26:08.290146,user_037,192.168.9.139,Android,1,0,Australia,1451,normal
2025-12-02 14:30:35.290146,user_045,192.168.1.249,Windows,1,0,Sri Lanka,712,normal
2025-12-06 00:02:00.290146,user_001,192.168.9.45,MacOS,1,0,USA,239,normal
2025-11-30 02:41:14.290146,user_041,192.168.4.160,Android,1,0,Australia,1121,normal
2025-12-01 01:36:28.290146,user_021,192.168.8.225,iOS,1,0,USA,595,normal
2025-12-06 05:03:18.290146,user_013,192.168.10.3,Linux,1,0,Australia,507,normal
2025-12-02 22:24:19.290146,user_044,192.168.2.219,iOS,1,0,USA,1159,normal
2025-12-05 01:48:37.290146,user_033,192.168.6.2,MacOS,1,0,USA,286,normal
2025-12-06 22:23:33.297780,user_047,122.1.199.179,Windows,1,0,Russia,181,anomalous
2025-12-06 06:56:28.290146,user_046,192.168.8.136,Android,1,0,Australia,255,normal
2025-12-01 17:32:56.290146,user_041,192.168.4.142,iOS,1,0,USA,1319,normal
2025-11-30 01:49:38.290146,user_008,192.168.1.93,iOS,1,0,Sri Lanka,1146,normal
2025-12-02 15:44:41.290146,user_042,192.168.4.10,Windows,1,0,Australia,139,normal
2025-11-30 03:13:09.290146,user_045,192.168.4.117,MacOS,1,0,UK,1270,normal
2025-11-29 23:13:38.290146,user_024,192.168.3.213,Android,1,0,Australia,1280,normal
2025-11-29 19:14:41.290146,user_031,192.168.9.251,MacOS,1,0,USA,506,normal
2025-12-02 17:54:47.290146,user_007,192.168.0.245,Android,1,0,Australia,669,normal
2025-12-01 03:37:28.290146,user_025,192.168.3.218,iOS,1,0,Australia,962,normal
2025-11-30 08:29:33.290146,user_025,192.168.3.6,MacOS,1,0,USA,80,normal
2025-12-04 06:56:18.290146,user_018,192.168.7.170,Windows,1,0,USA,432,normal
2025-12-05 16:17:48.290146,user_014,192.168.1.97,Linux,1,0,India,1747,normal
2025-12-04 16:54:59.290146,user_006,192.168.9.216,Windows,1,0,USA,1081,normal
2025-12-03 17:59:38.290146,user_013,192.168.4.177,Windows,1,0,Australia,1584,normal
2025-12-05 18:12:26.290146,user_030,192.168.4.100,Windows,1,0,UK,1505,normal
2025-12-06 12:13:29.290146,user_027,192.168.3.77,Android,1,0,UK,1501,normal
2025-11-29 19:28:17.290146,user_036,192.168.0.10,Windows,1,0,Sri Lanka,1758,normal
2025-12-03 13:48:25.290146,user_030,192.168.2.196,MacOS,1,0,Sri Lanka,1731,normal
2025-12-01 14:44:16.290146,user_039,192.168.0.200,iOS,1,0,UK,231,normal
2025-12-05 14:55:23.290146,user_036,192.168.7.80,Android,1,0,India,1152,normal
2025-12-01 01:55:11.290146,user_037,192.168.3.254,iOS,1,0,India,513,normal
2025-12-05 20:59:25.290146,user_030,192.168.9.116,iOS,1,0,Sri Lanka,1530,normal
2025-12-03 02:46:44.290146,user_023,192.168.5.167,MacOS,1,0,Australia,807,normal
2025-12-05 07:35:10.290146,user_017,192.168.5.131,iOS,1,0,Australia,1692,normal
2025-12-05 19:05:22.290146,user_010,192.168.10.59,Android,1,0,UK,996,normal
2025-12-01 05:25:41.290146,user_007,192.168.6.8,Linux,1,0,USA,339,normal
2025-12-04 08:25:15.290146,user_033,192.168.7.234,Windows,1,0,UK,1263,normal
2025-12-04 19:05:22.290146,user_022,192.168.0.220,Windows,1,0,Sri Lanka,1361,normal
2025-11-30 02:12:40.290146,user_016,192.168.5.240,Android,1,0,USA,1288,normal
2025-12-05 12:34:22.290146,user_028,192.168.4.105,Windows,1,0,Australia,1453,normal
2025-12-06 08:15:40.290146,user_009,192.168.10.95,Linux,1,0,Sri Lanka,1758,normal
2025-12-05 22:06:00.290146,user_006,192.168.10.86,Android,1,0,UK,103,normal
2025-12-06 17:56:33.297780,user_002,10.20.173.37,MacOS,1,0,USA,5533,anomalous
2025-12-01 22:07:06.290146,user_018,192.168.10.247,Android,1,0,Sri Lanka,981,normal
2025-12-01 08:59:25.290146,user_015,192.168.8.152,MacOS,1,0,India,1405,normal
2025-12-01 17:07:33.290146,user_040,192.168.1.185,Linux,1,0,UK,1693,normal
2025-12-06 16:30:42.290146,user_013,192.168.8.249,Windows,1,0,Sri Lanka,278,normal
2025-12-04 09:42:17.290146,user_032,192.168.2.109,iOS,1,0,Australia,1270,normal
2025-12-01 18:54:22.290146,user_025,192.168.10.72,Windows,1,0,Sri Lanka,1308,normal
2025-12-03 05:55:06.290146,user_049,192.168.2.131,MacOS,1,0,Australia,393,normal
2025-11-30 04:50:46.290146,user_011,192.168.10.209,Android,1,0,Sri Lanka,1061,normal
2025-12-06 06:57:55.290146,user_016,192.168.0.119,iOS,1,0,Australia,1120,normal
2025-12-03 01:34:12.290146,user_014,192.168.8.30,MacOS,1,0,UK,1202,normal
2025-11-30 11:31:25.290146,user_001,192.168.6.249,MacOS,1,0,USA,1706,normal
2025-12-04 20:22:44.290146,user_049,192.168.2.22,MacOS,1,0,India,1126,normal
2025-12-02 01:33:20.290146,user_047,192.168.8.116,iOS,1,0,India,1651,normal
2025-12-06 18:11:33.297780,user_017,185.199.108.1,MacOS,1,0,Unknown,707,anomalous
2025-12-03 21:54:55.290146,user_036,192.168.7.102,Windows,1,0,Australia,229,normal
2025-12-04 15:48:26.290146,user_026,192.168.4.86,Android,1,0,USA,141,normal
2025-12-04 00:29:38.290146,user_027,192.168.0.207,MacOS,1,0,UK,375,normal
2025-11-29 18:36:18.290146,user_025,192.168.7.231,Linux,1,0,UK,99,normal
2025-12-04 18:50:44.290146,user_002,192.168.8.52,iOS,1,0,Sri Lanka,697,normal
2025-12-05 10:46:51.290146,user_017,192.168.5.188,MacOS,1,0,USA,1561,normal
2025-11-30 17:13:50.290146,user_045,192.168.4.27,iOS,1,0,Sri Lanka,394,normal
2025-12-03 11:32:56.290146,user_023,192.168.4.171,iOS,1,0,Sri Lanka,1231,normal
2025-12-02 09:09:50.290146,user_049,192.168.4.96,Windows,1,0,UK,1131,normal
2025-11-30 01:08:43.290146,user_046,192.168.4.5,Android,1,0,USA,569,normal
2025-12-04 02:06:54.290146,user_042,192.168.9.84,Android,1,0,UK,1629,normal
2025-11-30 05:12:07.290146,user_031,192.168.2.102,Android,1,0,Sri Lanka,1151,normal
2025-12-06 05:05:13.290146,user_043,192.168.3.101,iOS,1,0,Sri Lanka,1217,normal
2025-12-04 14:56:18.290146,user_016,192.168.8.115,Linux,1,0,Australia,888,normal
2025-11-29 22:17:27.290146,user_011,192.168.8.245,Windows,1,0,Australia,1288,normal
2025-12-05 01:38:05.290146,user_025,192.168.1.74,Android,1,0,UK,194,normal
2025-12-04 09:59:49.290146,user_015,192.168.6.28,Windows,1,0,Australia,152,normal
2025-12-03 04:20:52.290146,user_018,192.168.4.211,MacOS,1,0,Australia,410,normal
2025-12-05 01:49:41.290146,user_041,192.168.1.227,MacOS,1,0,Sri Lanka,186,normal
2025-12-04 17:12:59.290146,user_025,192.168.10.75,iOS,1,0,Australia,444,normal
2025-12-06 07:53:01.290146,user_005,192.168.0.130,Android,1,0,UK,1738,normal
2025-12-03 02:30:27.290146,user_047,192.168.0.166,Android,1,0,USA,1621,normal
2025-12-04 21:46:33.290146,user_048,192.168.2.159,Android,1,0,USA,308,normal
2025-12-04 03:19:28.290146,user_047,192.168.7.211,iOS,1,0,UK,1011,normal
2025-12-03 05:57:15.290146,user_029,192.168.8.70,Linux,1,0,Australia,1241,normal
2025-12-05 05:53:58.290146,user_021,192.168.2.73,MacOS,1,0,UK,367,normal
2025-12-05 07:25:09.290146,user_003,192.168.4.238,MacOS,1,0,UK,1463,normal
2025-11-30 19:32:13.290146,user_036,192.168.2.35,Windows,1,0,India,1596,normal
2025-12-05 00:07:58.290146,user_046,192.168.6.11,Windows,1,0,Australia,99,normal
2025-11-30 11:42:50.290146,user_004,192.168.1.21,iOS,1,0,USA,311,normal
2025-12-05 19:29:23.290146,user_017,192.168.10.37,Windows,1,0,India,1433,normal
2025-12-04 19:20:08.290146,user_028,192.168.9.233,iOS,1,0,Australia,259,normal
2025-12-03 03:47:58.290146,user_018,192.168.2.254,Linux,1,0,USA,973,normal
2025-12-03 07:48:15.290146,user_033,192.168.9.110,MacOS,1,0,USA,262,normal
2025-12-06 18:39:33.297780,user_038,203.0.95.158,Android,0,12,Unknown,8,anomalous
2025-11-30 14:29:04.290146,user_035,192.168.7.54,Android,1,0,USA,1766,normal
2025-11-30 08:42:57.290146,user_042,192.168.2.186,MacOS,1,0,Sri Lanka,1153,normal
2025-12-04 15:50:12.290146,user_003,192.168.6.233,Windows,1,0,USA,104,normal
2025-12-05 12:26:24.290146,user_002,192.168.10.231,iOS,1,0,USA,646,normal
2025-11-30 17:06:12.290146,user_017,192.168.6.73,Windows,1,0,Sri Lanka,743,normal
2025-11-30 00:39:17.290146,user_027,192.168.7.16,Linux,1,0,Sri Lanka,1469,normal
2025-12-04 16:32:55.290146,user_041,192.168.7.5,Android,1,0,Australia,1051,normal
